Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
551dfdc9f9c772afb2f9a9e2fd8527c6,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11050074,982.8138667,35.20833333,27.91424
555a59406b47bc9231e49d517e831f17,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,15586893,7288.80048,322.6640625,22.58944
55875b4d612acfbcc205777967556e2f,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,16021456,1030.86416,36.9296875,27.91424
560b58c2dd099e16505614b9daa3fb0a,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10395613,5980.62592,214.25,27.91424
562f9fb6b3f2471ac6679ad1be086b06,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,16038951,22.41885198,4.276056667,5.24288
5634117358b8375d1a4e01394eb5f2a6,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,10518449,2094.667776,103.5,20.238336
56af0b28578a76791b323dccde95d09f,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,10782278,4400.35232,194.796875,22.58944
582fd7338630a5fd9c6da128853b2df0,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,15806371,866.6983822,31.04861111,27.91424
5868029395e48000d8e779a66b1a0a37,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13769709,2825.541404,101.2222222,27.91424
5908712506407377a3aaeb9a6eac1dec,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,10780529,4133.86752,183,22.58944
5a686482c1ddf169a406fb3598512563,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11306823,2507.629227,89.83333333,27.91424
5a723605d9dab097e5dc29e255f7f57a,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,11384214,700.621722,34.61854384,20.238336
5a8df72715942e5236fd931b74936dfa,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10432853,4234.047431,151.6805556,27.91424
